Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Spaniel (Irish Water),Gundog,,,,10 - 12 yrs.,20 - 24 in.,50 - 65 lbs,95,95,95,80,96,33,67,88,40,13,50,95,80,80,70,60,60,60,42,100,,"Irish Water Spaniel information, facts, and high-quality breed pictures. Learn everything about the Irish Water Spaniel dog breed including temperament, care, and more.","Irish Water Spaniels are highly intelligent, playful dogs. They have a strong desire to please and can be excellent with children and other pets. This breed has high exercise needs and loves to play. Because of that coat, the Irish water Spaniel is high maintenance in the grooming department. Since they are a sporting breed they may retain strong hunting instincts. Generally healthy dogs, the Water Spaniel should live 10-12 years."
Spaniel (Sussex),Gundog,,,,11 - 14 yrs.,13 - 15 in.,35 - 45 lbs,,,,,,67,0,38,,63,75,,30,,30,,,,,80,,"Everything about the Sussex Spaniel dog breed. Discover Sussex Spaniel coloring, sizing, traits, lifespan, and compare Sussex Spaniels to other dog breeds.","The breed doesn't need too much maintenance, but will require training (which can be difficult) and socialization starting in puppyhood. The Sussex Spaniel ranks 180th on the American Kennel Club's list of 195 recognized breeds. A member of the Sporting group, the Sussex Spaniel was developed in late 19th-century England to flush birds for hunters. As such, these dogs are good hunting companions--but they make great family pets too, and are best with owners who can make sure they get some daily exercise."
Spaniel (Welsh Springer),Gundog,,,,12 - 15 yrs.,17 - 19 in.,35 - 45 lbs,80,95,95,80,66,100,67,75,80,50,75,95,40,80,70,80,20,20,84,90,"Very playful, Medium-sized, Unique-looking, Highly versatile, Few health problems, Extremely intelligent, Brilliant hunting dog, Gets along with other dogs, Perfect for active lifestyles, Loves to swim and play in water","Welsh Springer Spaniel information, facts, and high-quality breed pictures. Learn everything about the Welsh Springer Spaniel dog breed including temperament, care, and more.","The Welsh Springer Spaniel is a breed that is said to have origins that may be 7,000 years old. This dog has been written about regarding its coat as long ago as the 16th century, and it has been known by a number of names including Welsh Cocker Spaniel. They are excellent gundogs whose many talents for all aspects of hunting makes them highly prized among hunters. They are rather rare, however, but have been recognized by a number of kennel clubs such as The Kennel Club, the UKC, and the AKC. The Welsh Springer Spaniel..."
Spanish Water Dog,Gundog,,,,10 - 14 yrs.,16 - 20 in.,40 - 50 lbs,80,80,60,60,48,100,67,88,40,0,63,95,80,80,90,40,20,20,84,70,,"Spanish Water Dog information, facts, and high-quality breed pictures. Learn everything about the Spanish Water Dog dog breed including temperament, care, and more.","A medium-sized breed. Weight for males is 40-50 pounds, and 30-40 pounds for females; height at the shoulders is 17-20 inches for males, 16-18 inches for females. A SWD is true to its working-class roots, in that it is focused, intelligent, and at times domineering. A well-trained SWD is great to its family (though probably not to anyone else), but because of its powerful herding instinct, may try to control children and other pets. These dogs are recommended only for experienced dog owners."
St. Bernard,Working,,,,8 - 10 yrs.,25½ - 27½ in.,110 - 200 lbs,95,95,95,95,96,67,0,38,40,50,38,40,30,80,30,60,20,20,42,70,"Lovable enough, Easy to housebreak, Laid-back personality, Doesn't need much exercise, Doesn't require a lot of space, Will be happy to hang out with you all day","Everything about the Saint Bernard dog breed. Discover Saint Bernard coloring, sizing, traits, lifespan, and compare Saint Bernards to other dog breeds.","Despite the breed's giant size, they prefer being indoors with their family. This can be a love hate relationship as Saint Bernards are very friendly, easy going, and are generally happy to lie down and sleep while their family does their thing. However, the breed is known for their lack of cleanliness as they shed, drool heavily, and oftentimes track dirt and mud. The Saint Bernard is in the Working Dog Group as classified by the American Kennel Club (AKC). These days, however, they don't do nearly as much work as they..."
Staffordshire Bull Terrier,Terrier,,,,12 - 14 yrs.,13 - 16 in.,25 - 38 lbs,80,95,95,20,96,100,100,100,60,50,50,40,20,95,20,60,40,40,21,80,"Extremely affectionate, Very loyal and protective, especially with kids, Fairly easily trained, Low grooming requirements, Playful and personable, Fairly intelligent, Normally amicable to strangers, Incredibly athletic and well-built","Staffordshire Bull Terrier information, facts, and high-quality breed pictures. Learn everything about the Staffordshire Bull Terrier dog breed including temperament, care, and more.","Due to their dog-fighting history from the 19th century, Staffies (as they are affectionately known) were ostracized early on by established kennel clubs but were loved by their breeders — who kept copious notes and created a concise history prior to the breed finally being formally accepted by clubs in the 20th century. While they make great family pets and absolutely adore children (they are sometimes called the ""nanny dog""), Staffordshire Bull Terriers are not for everyone: if you are not already experienced with dog..."
Swedish Lapphund,Pastoral,,,,12 - 14 yrs.,16 - 20 in.,35 - 55 lbs,88,91,86,98,76,83,67,75,50,50,75,78,80,83,20,31,25,30,67,80,,"Everything about the Swedish Lapphund dog breed. Discover Swedish Lapphund coloring, sizing, traits, lifespan, and more.","Effi visit Patrick Standberg CC BY-SA Dog Breeds Swedish Lapphund Swedish Lapphund Dog Breed Other names: Svensk Lapphund The Swedish Lapphund is a medium-small sized Spitz-type dog. These dogs are versatile, and have served as hunting dogs, guard dogs, and herders in their long and storied history. Working in the Scandinavian tundra forged these dogs into a very strong and resilient breed. The Swedish Lapphund is renowned for its stamina, agility, intelligence and independence. Their weatherproof coat is easy to mainta..."
Swedish Vallhund,Pastoral,,,,12 - 15 yrs.,12 - 16 in.,25 - 35 lbs,80,95,80,60,96,83,50,50,80,38,75,95,80,95,80,60,60,60,21,70,"Very curious, Even-tempered, Superb watchdogs, Great agility dog, Highly intelligent, Extremely protective, Very strong and powerful, Lives well with other pets, Can be wonderful with kids, Superb for very active people","Swedish Vallhund information, facts, and high-quality breed pictures. Learn everything about the Swedish Vallhund dog breed including temperament, care, and more.","This short-legged, long-bodied herding dog has been around for a very long time. The Swedish Vallhund is not readily found outside its native country. This breed tends to be highly appreciated in Australia, however, for the dog's power, versatility, and adaptability suits the needs of cattle ranchers there. They are very vocal dogs who nip at the heels of the animals they herd, and their complex language is called ""argle bargle."" They were formally recognized by the American Kennel Club (AKC) in 2007. The Swedish Vallhu..."
Tibetan Mastiff,Working,,,,10 - 14 yrs.,24 - 26 in.,120 - 170 lbs,80,95,90,95,48,67,33,50,60,25,75,15,100,95,100,15,20,20,16,90,,"Everything about the Tibetan Mastiff dog breed. Discover Tibetan Mastiff coloring, sizing, traits, lifespan, and compare Tibetan Mastiffs to other dog breeds.","Due to the breed's protective instinct, they can be a challenge for many families. They are not familiar with children, are wary of strangers, and can easily become territorial. Because of these potential issues the Tibetan mastiff is often not recommended for new dog owners. The Tibetan mastiff is considered a large to giant sized dog breed (and can often appear much larger due to their fluffy coat). While their size helps keep away intruders, it can be a bit to manage for small-framed owners, especially considering th..."
Tibetan Spaniel,Utility,,,,12 - 15 yrs.,8 - 10 in.,9 - 15 lbs,80,95,95,80,66,50,33,50,90,63,75,80,30,80,40,95,20,20,84,60,"Very playful, Great watchdogs, Calm personality, Popular in Europe, Low exercise needs, Loves to be carried, Gets along with other pets, Will snuggle at every chance","Tibetan Spaniel information, facts, and high-quality breed pictures. Learn everything about the Tibetan Spaniel dog breed including temperament, care, and more.","The Tibetan Spaniel is an ancient breed that comes from Tibet but is not a Spaniel. They were long ago developed to be watchdogs that were trained to sit atop monastery walls as lookouts and to be companions otherwise. This breed was accepted by the Fédération Cynologique Internationale (FCI) in 1961. The American Kennel Club (AKC) formally recognized the breed in 1983, and in 1992, the United Kennel Club did too. The Tibetan Spaniel is categorized by the AKC in the Non-Sporting Dog Group. These small dogs are perfect a..."
Tibetan Terrier,Utility,,,,12 - 15 yrs.,14 - 16 in.,20 - 24 lbs,80,95,95,80,66,33,67,63,100,100,88,50,20,95,70,95,20,20,63,70,"Extremely versatile with living environments, Very affectionate, Good watchdog skills, Socialize well with children and other pets, Fairly suitable for first-time owners, Extremely healthy, Intelligent and easy to train, Playful and energetic, Relatively long lifespan (12-15 years)","Tibetan Terrier information, facts, and high-quality breed pictures. Learn everything about the Tibetan Terrier dog breed including temperament, care, and more.","The Tibetan Terrier is a medium-sized dog breed with a long-haired coat that is either straight or wavy. Dogs of this breed are affectionate, sensitive, playful, and a bit needy. TTs socialize well with kids and other pets, have moderate to high maintenance needs (including frequent grooming), and are typically suitable for first-time owners. The Tibetan Terrier, despite its name, is not a member of the Terrier group of breeds; dogs of this breed are classified in the Non-Sporting Group. TTs have existed as companion do..."
